day,Overall_Calories,Overall_Proteins,Overall_Carbs,Overall_Fats,Overall_Fibres,Breakfast_Items,Lunch_Items,Dinner_Items,Pre_workout_snack_Items,Post_workout_snack_Items,Mor_snac_Items,Eve_snack_Items,Breakfast_Serving,Lunch_Serving,Dinner_Serving,Pre_workout_snack_Serving,Post_workout_snack_Serving,Mor_snac_Serving,Eve_snack_Serving,Breakfast_Calories,Lunch_Calories,Dinner_Calories,Pre_workout_snack_Calories,Post_workout_snack_Calories,Mor_snac_Calories,Eve_snack_Calories,Breakfast_Carbs,Lunch_Carbs,Dinner_Carbs,Pre_workout_snack_Carbs,Post_workout_snack_Carbs,Mor_snac_Carbs,Eve_snack_Carbs,Breakfast_Proteins,Lunch_Proteins,Dinner_Proteins,Pre_workout_snack_Proteins,Post_workout_snack_Proteins,Mor_snac_Proteins,Eve_snack_Proteins,Breakfast_Fats,Lunch_Fats,Dinner_Fats,Pre_workout_snack_Fats,Post_workout_snack_Fats,Mor_snac_Fats,Eve_snack_Fats,Breakfast_Fibre,Lunch_Fibre,Dinner_Fibre,Pre_workout_snack_Fibre,Post_workout_snack_Fibre,Mor_snac_Fibre,Eve_snack_Fibre,Type,Region,Condition,Diet,Value
Day 1,2170 kcal,79.65 g,298.75 g,75.2 g,57.4 g,Upma,Wheat Roti | Grilled paneer | Lauki sabzi | Dahi | Carrot tomato salad,Chana lobia curry | Carrot cucumber salad | Wheat Roti | Brown rice,Almonds | Cashew Nuts,Boiled kala chana,Apple | walnuts,Roasted chana,2 katori,3 roti | 1 serving | 1 katori | 0.5 katori | 1 katori,1 katori | 1 katori | 2 roti | 1 katori,6 almond | 6 Piece,1 katori,1 piece | 6 piece,1 katori,342,255 | 287 | 50 | 45 | 27,171 | 21 | 170 | 109,42 | 48,161,84,270,48.6,52.2 | 1.8 | 3.7 | 2.25 | 5.4,24.3 | 4.9 | 34.8 | 22.8,1.8 | 1.8,27.2,88 | 1.2,46,8.8,9 | 16.9 | 0.7 | 2.35 | 0.9,9 | 0.7 | 6 | 2.4,1.8 | 1.8,7.6,20 | 1.8,9.6,12.6,1.2 | 23.7 | 3.7 | 3 | 0.2,4.3 | 0.1 | 0.8 | 0.9,3.6 | 4.2,2.4,0.3 | 8.4,5.3,5,8.1 | 0.5 | 2.5 | 0 | 2.5,4.3 | 1.1 | 5.4 | 1,1.2 | 0,12.6,0.8 | 1.2,7.2,Weight Loss,North Indian,Thyroid,Veg,2200
Day 2,2185 kcal,79.25 g,319.45 g,76.8 g,56.35 g,Peas poha,Paneer Pulao | Lauki raita | Methi Bhaji | Carrot tomato salad,Wheat Roti | Soyabean Curry | Mix daal | Green salad,Granola bar | Almonds,Papaya smoothie,Chia seeds | Pomegranate | walnuts,Makhana | Buttermilk,2 katori,2 Katori | 1 katori | 1 Katori | 1 katori,2 roti | 1 Katori | 1 katori | 1 katori,1 bar | 6 almond,1.5 glass,1 tbsp | 1 cup | 6 piece,2 katori | 1 glass,280,272 | 68 | 114 | 27,170 | 120 | 149 | 60,119 | 42,222,47 | 144 | 84,222 | 45,55.8,39 | 4.4 | 12.1 | 5.4,34.8 | 7.3 | 22.4 | 2.8,16.9 | 1.8,27.45,4.1 | 32.5 | 1.2,49.2 | 2.3,6,13.8 | 3.4 | 3.8 | 0.9,6 | 8.8 | 8.7 | 1.4,1.9 | 1.8,7.95,1.6 | 2.9 | 1.8,6.2 | 2.3,4,13.8 | 4.2 | 5.7 | 0.2,0.8 | 6.2 | 2.9 | 4.8,4.9 | 3.6,9.3,3 | 2 | 8.4,0 | 3,2.2,0.6 | 0.9 | 4.2 | 2.5,5.4 | 5.3 | 6 | 1.7,2.2 | 1.2,3.45,3.3 | 7 | 1.2,9.2 | 0,Weight Loss,North Indian,Thyroid,Veg,2200
Day 3,2161 kcal,84.85 g,284.15 g,80 g,55.75 g,Coconut Chutney | Drumstick sambhar | Rava idli,Mix daal | Carrot tomato salad | Gavar sabzi | Ragi/nachni roti,Bajra roti | Chana Soyabean Bhaji | Capsicum lettuce salad,Apple smoothie | walnuts,Tofu,Carrot beetroot juice | Soaked and peeled almonds,Vegetable Sandwich,4 Teaspoon | 1.5 katori | 3 rava,1 katori | 1 katori | 1 katori | 3 roti,2 piece | 1.5 Katori | 1 katori,1 glass | 6 piece,1 serving,1 glass | 6 almond,1 Sandwich,68 | 139.5 | 252,149 | 27 | 65 | 261,226 | 211.5 | 49,145 | 84,144,72 | 48,220,2.8 | 16.5 | 40.8,22.4 | 5.4 | 4.7 | 57.6,38.2 | 17.25 | 3.7,22 | 1.2,2.8,15.7 | 0.6,32.5,0.8 | 6.3 | 7.8,8.7 | 0.9 | 2.6 | 6,6.6 | 12.45 | 1.1,3.6 | 1.8,17.3,2.1 | 1.8,5,6 | 5.4 | 6.6,2.9 | 0.2 | 3.8 | 1.2,5.2 | 10.8 | 3.7,4.9 | 8.4,8.7,0 | 4.2,8,2 | 3.45 | 3.3,6 | 2.5 | 3.6 | 9.3,6.4 | 3.6 | 1.9,1.6 | 1.2,2.3,1 | 1.2,6.4,Weight Loss,North Indian,Thyroid,Veg,2200
Day 4,2178 kcal,81.9 g,300 g,73.8 g,63.7 g,Dahi | Besan chilla,Carrot tomato salad | Masooor Bhaji | Bajra roti,Tinda sabzi | Mix daal | Green salad | Wheat Roti,Oatmeal porridge,Moong beans boiled,Pear | Almonds | walnuts,Puffed Rice Chivda | Ragi with buttermilk,1 katori | 3 chilla,1 katori | 1 Katori | 3 piece,1 katori | 1 katori | 1 katori | 3 roti,1 katori,1 katori,1 piece | 6 almond | 6 piece,1 Katori | 1 glass,90 | 324,27 | 189 | 339,55 | 149 | 60 | 255,140,138,42 | 84,138 | 71,4.5 | 32.4,5.4 | 24.7 | 57.3,3.5 | 22.4 | 2.8 | 52.2,16.7,23.4,77 | 1.8 | 1.2,19.8 | 14.3,4.7 | 12,0.9 | 8.5 | 9.9,1.2 | 8.7 | 1.4 | 9,6.2,9.9,17.6 | 1.8 | 1.8,3.2 | 1.8,6 | 15.9,0.2 | 6.4 | 7.8,4 | 2.9 | 4.8 | 1.2,5.9,0.5,0.9 | 3.6 | 8.4,5.1 | 0.8,0 | 6.9,2.5 | 5.6 | 9.6,0.9 | 6 | 1.7 | 8.1,2,6.9,0.3 | 1.2 | 1.2,2.4 | 2.3,Weight Loss,North Indian,Thyroid,Veg,2200
Day 1,1884 kcal,80 g,250.9 g,62.5 g,56.7 g,Wheat Roti | Paneer Burji,Gobi matar sabzi | Daal | Wheat Roti | Green salad | Dahi,Wheat Roti | Paneer capsicum sabzi | Daal | Carrot tomato salad,Granola bar | Apricot dried,Moong beans boiled,Pear | Almonds | Chia seeds,Veg Clear Soup | Bean salad,2 roti | 1 Small,1 katori | 1 bowl | 2 roti | 1 katori | 1 katori,2 roti | 1 katori | 1 bowl | 1 katori,1 bar | 1 piece,1 katori,1 piece | 6 almond | 1 tbsp,1 Bowl | 1 katori,170 | 209,82 | 116 | 170 | 60 | 90,170 | 132 | 116 | 27,119 | 20,138,42 | 47,44 | 55,34.8 | 3.2,7 | 18.7 | 34.8 | 2.8 | 4.5,34.8 | 5.2 | 18.7 | 5.4,16.9 | 4.9,23.4,77 | 1.8 | 4.1,4.9 | 7.4,6 | 11.7,2.7 | 7.2 | 6 | 1.4 | 4.7,6 | 6 | 7.2 | 0.9,1.9 | 0.1,9.9,17.6 | 1.8 | 1.6,2.1 | 1.9,0.8 | 16.6,5 | 1.4 | 0.8 | 4.8 | 6,0.8 | 9.9 | 1.4 | 0.2,4.9 | 0.1,0.5,0.9 | 3.6 | 3,0.4 | 2,5.4 | 0.7,3.4 | 3.1 | 5.4 | 1.7 | 0,5.4 | 1.9 | 3.1 | 2.5,2.2 | 0.5,6.9,0.3 | 1.2 | 3.3,1.5 | 2.1,Weight Gain,Maharashtrian,None,Veg,1900
Day 2,1899 kcal,77.8 g,229.2 g,75.7 g,44.2 g,Dahi | Besan chilla,Green Peas Potato Pulao | Wheat Roti | Soyabean Curry | Green salad,Wheat Roti | Paneer Burji | Carrot cucumber salad,Papaya smoothie,Oats soya chilla,Almonds | Vegetable juice,Puffed Rice Chivda | Carrot Soup,1 katori | 2 chilla,1 Katori | 2 roti | 1 Katori | 1 katori,2 roti | 1 Small | 1 katori,1 glass,2 chilla,6 almond | 1 glass,1 Katori | 1 Bowl,90 | 216,136 | 170 | 120 | 60,170 | 209 | 21,148,218,42 | 55,138 | 106,4.5 | 21.6,25.6 | 34.8 | 7.3 | 2.8,34.8 | 3.2 | 4.9,18.3,20.6,1.8 | 11.5,19.8 | 17.7,4.7 | 8,3.3 | 6 | 8.8 | 1.4,6 | 11.7 | 0.7,5.3,13.8,1.8 | 1.5,3.2 | 1.6,6 | 10.6,2.3 | 0.8 | 6.2 | 4.8,0.8 | 16.6 | 0.1,6.2,9,3.6 | 0.3,5.1 | 3.3,0 | 4.6,1.7 | 5.4 | 5.3 | 1.7,5.4 | 0.7 | 1.1,2.3,4,1.2 | 2,2.4 | 6.4,Weight Gain,Maharashtrian,None,Veg,1900
Day 3,1908 kcal,72.8 g,296.1 g,50.6 g,52 g,Peas poha,Soya chunk pulao | Lauki raita | Green salad,Wheat Roti | Carrot tomato salad | Chana lobia curry,Oatmeal porridge,Boiled sprouted chana,Chiku | Chia seeds | Almonds,Roasted chana | Peanut butter with whole wheat bread,2 katori,2 katori | 1 katori | 1 katori,2 roti | 1 katori | 1 katori,1 katori,1 katori,1 piece | 1 tbsp | 6 almond,1 katori | 1 slice,280,296 | 68 | 60,170 | 27 | 171,140,161,59 | 47 | 42,270 | 117,55.8,47.2 | 4.4 | 2.8,34.8 | 5.4 | 24.3,16.7,27,12.8 | 4.1 | 1.8,46 | 13,6,12.4 | 3.4 | 1.4,6 | 0.9 | 9,6.2,8.7,0.4 | 1.6 | 1.8,9.6 | 5.4,4,6 | 4.2 | 4.8,0.8 | 0.2 | 4.3,5.9,2.6,0.7 | 3 | 3.6,5.3 | 5.2,2.2,4.8 | 0.9 | 1.7,5.4 | 2.5 | 4.3,2,7.5,6.5 | 3.3 | 1.2,7.2 | 2.5,Weight Gain,Maharashtrian,None,Veg,1900
Day 4,1900.5 kcal,77.85 g,267.4 g,58.75 g,44.95 g,Upma,Palak Bhaji / Sabji | Daal | Carrot cucumber salad | Bajri Bhakri,Aloo matar sabzi | Bajri Bhakri | Grilled paneer,Epigamia plain yoghurt | Muskmelon,Banana yoghurtoatmeal smoothie,Coconut water | Soaked and peeled almonds,Moong beans boiled | Buttermilk,2 katori,1 Katori | 1 bowl | 1 katori | 2 Piece,1 katori | 2 Piece | 0.5 serving,1 pack | 1 cup,1 glass,1 piece | 6 almond,1 katori | 1 glass,342,93 | 116 | 21 | 226,129 | 226 | 143.5,69 | ,228,49 | 48,138 | 45,48.6,7.4 | 18.7 | 4.9 | 42,20 | 42 | 0.9,5.6 | 27,36.3,9.1 | 0.6,23.4 | 2.3,8.8,2 | 7.2 | 0.7 | 7.2,4 | 7.2 | 8.45,7.2 | 5.6,7.7,2.9 | 1.8,9.9 | 2.3,12.6,6.4 | 1.4 | 0.1 | 3.2,3.8 | 3.2 | 11.85,2 | 0.5,6,0.2 | 4.2,0.5 | 3,5,2.3 | 3.1 | 1.1 | 7,5.1 | 7 | 0.25,0 | 0.3,2.4,2.3 | 1.2,6.9 | 0,Weight Gain,Maharashtrian,None,Veg,1900
Day 1,2088.5 kcal,88.5 g,296.1 g,64.15 g,47.3 g,Boiled Egg | Peas poha,Grilled paneer | Daal | Brown rice,Cabbage sabzi | Daal | Wheat Roti,Almonds | Cashew Nuts | Orange,Moong beans boiled,Apple | Chia seeds | Almonds,Makhana | Buttermilk,1 Egg | 2 katori,1 serving | 2 bowl | 1.5 katori,1 katori | 1 bowl | 3 roti,6 almond | 6 Piece | 1 piece,1 katori,1 piece | 1 tbsp | 6 almond,1 katori | 1 glass,86 | 280,287 | 232 | 163.5,62 | 116 | 255,42 | 48 | ,138,47 | 42,111 | 45,1 | 55.8,1.8 | 37.4 | 34.2,4.7 | 18.7 | 52.2,1.8 | 1.8 | 46,23.4,88 | 4.1 | 1.8,24.6 | 2.3,6.6 | 6,16.9 | 14.4 | 3.6,1.5 | 7.2 | 9,1.8 | 1.8 | 10.5,9.9,20 | 1.6 | 1.8,3.1 | 2.3,6.6 | 4,23.7 | 2.8 | 1.35,4.2 | 1.4 | 1.2,3.6 | 4.2 | 0.7,0.5,0.3 | 3 | 3.6,0 | 3,0 | 2.2,0.5 | 6.2 | 1.5,2.6 | 3.1 | 8.1,1.2 | 0 | 0.2,6.9,0.8 | 3.3 | 1.2,4.6 | 0,Weight Gain,South Indian,Diabetes,Non Veg,2100
Day 2,2072.5 kcal,91.15 g,216.65 g,98.2 g,39 g,Boiled Egg | Upma,Dosa | Chicken curry | Capsicum lettuce salad,Tofu | Green salad | Bajra roti | Mix Veg Bhaji,Muskmelon | walnuts,Boiled Egg,Pear | Flax seeds | Almonds,Boiled peanuts | Buttermilk with flaxseed powder,1 Egg | 1.5 katori,3 dosa | 1 katori | 1 katori,0.5 serving | 1 katori | 3 piece | 1 Small,1 cup | 6 piece,2 Egg,1 piece | 1 tbsp | 6 almond,1 serving | 1 glass,86 | 256.5,345 | 163 | 49,72 | 60 | 339 | 94,84,172,55 | 42,96 | 55,1 | 36.45,59.1 | 4.6 | 3.7,1.4 | 2.8 | 57.3 | 14.2,27 | 1.2,2,77 | 3 | 1.8,2.7 | 2.2,6.6 | 6.6,9.6 | 17.9 | 1.1,8.65 | 1.4 | 9.9 | 2.3,5.6 | 1.8,13.2,17.6 | 1.9 | 1.8,4.4 | 2.6,6.6 | 9.45,7.8 | 7.7 | 3.7,4.35 | 4.8 | 7.8 | 3.3,0.5 | 8.4,13.2,0.9 | 4.4 | 3.6,8.3 | 4.2,0 | 3.75,0 | 1.7 | 1.9,1.15 | 1.7 | 9.6 | 4,0.3 | 1.2,0,0.3 | 2.8 | 1.2,1.4 | 0.9,Weight Gain,South Indian,Diabetes,Non Veg,2100
Day 3,2084.5 kcal,92.1 g,280.4 g,69.75 g,47.6 g,Oats rava idli | Tomato chutney | Drumstick sambhar,Boiled Egg | Drumstick sambhar | Brown rice,Bhindi Sabzi | Carrot cucumber salad | Mix daal | Ragi/nachni roti,Cashew Nuts | walnuts | Mosambi,Egg white,Coconut water | Almonds,Roasted chana | Buttermilk,4 piece | 4 tbsp | 1 katori,2 Egg | 2 katori | 1.5 katori,1 Katori | 1 katori | 1 katori | 3 roti,6 Piece | 6 piece | 1 piece,boiled,1 piece | 6 almond,1 katori | 1 glass,296 | 40 | 93,172 | 186 | 163.5,68 | 21 | 149 | 261,48 | 84 | 29,4 piece,49 | 42,270 | 45,46 | 4 | 11,2 | 22 | 34.2,7.1 | 4.9 | 22.4 | 57.6,1.8 | 1.2 | 6.2,68,9.1 | 1.8,46 | 2.3,9.6 | 0.8 | 4.2,13.2 | 8.4 | 3.6,1.8 | 0.7 | 8.7 | 6,1.8 | 1.8 | 0.5,0.8,2.9 | 1.8,9.6 | 2.3,8.4 | 2.4 | 3.6,13.2 | 7.2 | 1.35,3.7 | 0.1 | 2.9 | 1.2,4.2 | 8.4 | 0.2,14.4,0.2 | 3.6,5.3 | 3,4 | 2 | 2.3,0 | 4.6 | 1.5,3.1 | 1.1 | 6 | 9.3,0 | 1.2 | 1.8,0.8,2.3 | 1.2,7.2 | 0,Weight Gain,South Indian,Diabetes,Non Veg,2100
Day 4,2075.5 kcal,95.75 g,246.65 g,80.7 g,40.85 g,Chana Soyabean Bhaji | Ragi Dosa,Green salad | Soya chunk pulao | Tomato cucumber raita,Carrot cucumber salad | Paneer Burji | Multi grain roti,Peanut butter with whole wheat bread,Epigamia plain yoghurt | Muskmelon,Carrot beetroot juice | Almonds | Chia seeds,Roasted peanuts | Buttermilk,1 Katori | 2 Dosa,1 katori | 2 katori | 1.5 katori,1 katori | 1.5 Small | 3 roti,2 slice,2 pack | 2 cup,1 glass | 6 almond | 1 tbsp,0.5 serving | 1 glass,141 | 204,60 | 296 | 76.5,21 | 313.5 | 246,234,138 | ,72 | 42 | 47,85.5 | 45,11.5 | 43.2,2.8 | 47.2 | 8.25,4.9 | 4.8 | 47.7,26,11.2 | 54,15.7 | 1.8 | 4.1,4 | 2.3,8.3 | 4.4,1.4 | 12.4 | 3.75,0.7 | 17.55 | 9.3,10.8,14.4 | 11.2,2.1 | 1.8 | 1.6,3.95 | 2.3,7.2 | 1.4,4.8 | 6 | 3.6,0.1 | 24.9 | 2.1,10.4,4 | 1,0 | 3.6 | 3,6 | 3,2.4 | 4.4,1.7 | 4.8 | 1.65,1.1 | 1.05 | 9,5,0 | 0.6,1 | 1.2 | 3.3,1.65 | 0,Weight Gain,South Indian,Diabetes,Non Veg,2100
Day 1,1272 kcal,61.6 g,162.9 g,43.3 g,28.8 g,Wheat Roti | Egg Omelette,Daal | Capsicum lettuce salad | Brown rice,Chicken curry | Carrot tomato salad | Jowar Bhakri,Cashew Nuts | walnuts,Egg white,Apple | Almonds,Roasted chana,1 roti | 1 Piece,1 bowl | 1 katori | 1 katori,1 katori | 1 katori | 1 Piece,4 Piece | 6 piece,boiled,1 piece | 4 almond,1 katori,85 | 104,116 | 49 | 109,163 | 27 | 83,32 | 84,2 piece,28,270,17.4 | 2.5,18.7 | 3.7 | 22.8,4.6 | 5.4 | 17.8,1.2 | 1.2,34,88 | 1.2,46,3 | 6,7.2 | 1.1 | 2.4,17.9 | 0.9 | 1.8,1.2 | 1.8,0.4,20 | 1.2,9.6,0.4 | 8.1,1.4 | 3.7 | 0.9,7.7 | 0.2 | 0.8,2.8 | 8.4,7.2,0.3 | 2.4,5.3,2.7 | 0.4,3.1 | 1.9 | 1,1.7 | 2.5 | 1.5,0 | 1.2,0.4,0.8 | 0.8,7.2,Weight Loss,Maharashtrian,Diabetes,Non Veg,1300
Day 2,1306 kcal,56.8 g,191.4 g,36.65 g,34.55 g,Poha | Boiled Egg,Wheat Roti | Paneer capsicum sabzi,Chana Soyabean Bhaji | Daal | Jowar Bhakri,Muskmelon,Moong beans boiled,Pineapple | Almonds,Makhana,1 Katori | 1 Egg,2 roti | 1.5 katori,1 Katori | 1 bowl | 1 Piece,1 cup,1 katori,3 thin | 4 almond,1 katori,130 | 86,170 | 198,141 | 116 | 83,,138,78 | 28,111,26.7 | 1,34.8 | 7.8,11.5 | 18.7 | 17.8,27,23.4,18.3 | 1.2,24.6,2.6 | 6.6,6 | 9,8.3 | 7.2 | 1.8,5.6,9.9,0.6 | 1.2,3.1,1.5 | 6.6,0.8 | 14.85,7.2 | 1.4 | 0.8,0.5,0.5,0.3 | 2.4,0,0.9 | 0,5.4 | 2.85,2.4 | 3.1 | 1.5,0.3,6.9,4.8 | 0.8,4.6,Weight Loss,Maharashtrian,Diabetes,Non Veg,1300
Day 3,1288 kcal,57.3 g,164.7 g,45.4 g,36.9 g,Besan chilla | Dhaniya pudina chutney,Soya chunk pulao | Tomato cucumber raita,Wheat Roti | Baigan Sabzi | Daal,Mosambi,Boiled Egg,Carrot beetroot juice | Almonds,Boiled kala chana,2 chilla | 2 tbsp,1 katori | 1 katori,2 roti | 1 Katori | 1 bowl,1 piece,2 Egg,1 glass | 4 almond,1 katori,216 | 10,148 | 51,170 | 115 | 116,29,172,72 | 28,161,21.6 | 1.6,23.6 | 5.5,34.8 | 6.6 | 18.7,6.2,2,15.7 | 1.2,27.2,8 | 0.6,6.2 | 2.5,6 | 2.2 | 7.2,0.5,13.2,2.1 | 1.2,7.6,10.6 | 0.2,3 | 2.4,0.8 | 8.8 | 1.4,0.2,13.2,0 | 2.4,2.4,4.6 | 1,2.4 | 1.1,5.4 | 3.1 | 3.1,1.8,0,1 | 0.8,12.6,Weight Loss,Maharashtrian,Diabetes,Non Veg,1300
Day 4,1254.75 kcal,62.28 g,147.05 g,50 g,29.62 g,Muesli | Almonds | Chia seeds | Cow milk,Daal | Roasted chicken | Carrot cucumber salad | Brown rice,Chana curry | Green salad | Bajri Bhakri,walnuts | Almonds,Egg white,Fresh fruit salad,Roasted peanuts | Buttermilk,1 serving | 4 almond | 1 tbsp | 1 glass,1 bowl | 0.5 chicken | 1 katori | 1 katori,1 katori | 1 katori | 1 Piece,4 piece | 4 almond,boiled,1 katori,0.25 serving | 1 glass,102 | 28 | 47 | 168,116 | 107 | 21 | 109,118 | 60 | 113,56 | 28,2 piece,60,42.75 | 45,23.3 | 1.2 | 4.1 | 11,18.7 | 0.65 | 4.9 | 22.8,15.9 | 2.8 | 21,0.8 | 1.2,34,14,2 | 2.3,2.9 | 1.2 | 1.6 | 8,7.2 | 14.2 | 0.7 | 2.4,4.3 | 1.4 | 3.6,1.2 | 1.2,0.4,0.9,1.98 | 2.3,1.5 | 2.4 | 3 | 10.3,1.4 | 4.9 | 0.1 | 0.9,4.2 | 4.8 | 1.6,5.6 | 2.4,7.2,0.5,3 | 3,2.2 | 0.8 | 3.3 | 0,3.1 | 0.1 | 1.1 | 1,6.8 | 1.7 | 3.5,0.8 | 0.8,0.4,3.6,0.82 | 0,Weight Loss,Maharashtrian,Diabetes,Non Veg,1300
Day 1,2092 kcal,76.95 g,281 g,75.5 g,56.2 g,Upma,Wheat Roti | Grilled paneer | Carrot tomato salad | Gobi matar sabzi,Wheat Roti | Chana lobia curry | Brown rice,Almonds | Cashew Nuts,Boiled kala chana,Apple | walnuts,Roasted chana,2 katori,3 roti | 1 serving | 1 katori | 1.5 katori,1 roti | 1 katori | 1 katori,6 almond | 6 Piece,1 katori,1 piece | 6 piece,1 katori,342,255 | 287 | 27 | 123,85 | 171 | 109,42 | 48,161,84,270,48.6,52.2 | 1.8 | 5.4 | 10.5,17.4 | 24.3 | 22.8,1.8 | 1.8,27.2,88 | 1.2,46,8.8,9 | 16.9 | 0.9 | 4.05,3 | 9 | 2.4,1.8 | 1.8,7.6,20 | 1.8,9.6,12.6,1.2 | 23.7 | 0.2 | 7.5,0.4 | 4.3 | 0.9,3.6 | 4.2,2.4,0.3 | 8.4,5.3,5,8.1 | 0.5 | 2.5 | 5.1,2.7 | 4.3 | 1,1.2 | 0,12.6,0.8 | 1.2,7.2,Weight Gain,Maharashtrian,Thyroid,Veg,2100
Day 2,2075.5 kcal,71.45 g,303.3 g,75.2 g,50.7 g,Peas poha,Paneer Pulao | Methi Bhaji | Beetroot Koshimbir | Nachni Bhakri,Wheat Roti | Soyabean Curry | Capsicum lettuce salad | Mix daal,Granola bar | Almonds,Papaya smoothie,Pomegranate | walnuts,Makhana | Buttermilk,2 katori,2 Katori | 1 Katori | 1 Katori | 1 Piece,2 roti | 1 Katori | 1 katori | 1 katori,1 bar | 6 almond,1 glass,1 cup | 6 piece,1.5 katori | 1 glass,280,272 | 114 | 48 | 125,170 | 120 | 49 | 149,119 | 42,148,144 | 84,166.5 | 45,55.8,39 | 12.1 | 3.9 | 14.4,34.8 | 7.3 | 3.7 | 22.4,16.9 | 1.8,18.3,32.5 | 1.2,36.9 | 2.3,6,13.8 | 3.8 | 1.1 | 1.5,6 | 8.8 | 1.1 | 8.7,1.9 | 1.8,5.3,2.9 | 1.8,4.65 | 2.3,4,13.8 | 5.7 | 3.1 | 6.9,0.8 | 6.2 | 3.7 | 2.9,4.9 | 3.6,6.2,2 | 8.4,0 | 3,2.2,0.6 | 4.2 | 1.9 | 2.4,5.4 | 5.3 | 1.9 | 6,2.2 | 1.2,2.3,7 | 1.2,6.9 | 0,Weight Gain,Maharashtrian,Thyroid,Veg,2100
Day 3,2080 kcal,79.35 g,295.15 g,66.4 g,57.15 g,Coconut Chutney | Drumstick sambhar | Rava idli,Mix daal | Carrot tomato salad | Gavar sabzi | Wheat Roti,Chana Soyabean Bhaji | Wheat Roti | Dahi,Apple smoothie | walnuts,Boiled moong and chana,Carrot beetroot juice,Vegetable Sandwich,4 Teaspoon | 1.5 katori | 3 rava,1 katori | 1 katori | 1 katori | 3 roti,1.5 Katori | 2 roti | 1 katori,1 glass | 6 piece,1 katori,1 glass,1 Sandwich,68 | 139.5 | 252,149 | 27 | 65 | 255,211.5 | 170 | 90,145 | 84,132,72,220,2.8 | 16.5 | 40.8,22.4 | 5.4 | 4.7 | 52.2,17.25 | 34.8 | 4.5,22 | 1.2,22.4,15.7,32.5,0.8 | 6.3 | 7.8,8.7 | 0.9 | 2.6 | 9,12.45 | 6 | 4.7,3.6 | 1.8,7.6,2.1,5,6 | 5.4 | 6.6,2.9 | 0.2 | 3.8 | 1.2,10.8 | 0.8 | 6,4.9 | 8.4,1.4,0,8,2 | 3.45 | 3.3,6 | 2.5 | 3.6 | 8.1,3.6 | 5.4 | 0,1.6 | 1.2,9,1,6.4,Weight Gain,Maharashtrian,Thyroid,Veg,2100
Day 4,2097 kcal,74.7 g,267.6 g,82.9 g,52.4 g,Dahi | Besan chilla,Veg Fried Rice | Masooor Bhaji | Bajri Bhakri | Dahi,Wheat Roti | Tinda sabzi | Mix daal | Green salad,Oatmeal porridge | Flax seeds,,Pear | Almonds | walnuts,Puffed Rice Chivda | Ragi with buttermilk,1 katori | 3 chilla,1 Katori | 1 Katori | 2 Piece | 1 katori,2 roti | 1 katori | 1 katori | 1 katori,1 katori | 1 tbsp,,1 piece | 6 almond | 6 piece,1 Katori | 1 glass,90 | 324,137 | 189 | 226 | 90,170 | 55 | 149 | 60,140 | 55,,42 | 84,138 | 71,4.5 | 32.4,21.6 | 24.7 | 42 | 4.5,34.8 | 3.5 | 22.4 | 2.8,16.7 | 3,,77 | 1.8 | 1.2,19.8 | 14.3,4.7 | 12,2.7 | 8.5 | 7.2 | 4.7,6 | 1.2 | 8.7 | 1.4,6.2 | 1.9,,17.6 | 1.8 | 1.8,3.2 | 1.8,6 | 15.9,4.4 | 6.4 | 3.2 | 6,0.8 | 4 | 2.9 | 4.8,5.9 | 4.4,,0.9 | 3.6 | 8.4,5.1 | 0.8,0 | 6.9,0.6 | 5.6 | 7 | 0,5.4 | 0.9 | 6 | 1.7,2 | 2.8,,0.3 | 1.2 | 1.2,2.4 | 2.3,Weight Gain,Maharashtrian,Thyroid,Veg,2100
Day 1,2007 kcal,73.05 g,271.6 g,72.35 g,52.8 g,Upma,Wheat Roti | Carrot cucumber salad | Grilled paneer | Stuffed/bharwan karela,Wheat Roti | Chana lobia curry | Plain Rice | Carrot cucumber salad,Almonds | Cashew Nuts,Boiled kala chana,Apple | walnuts,Roasted chana,1.5 katori,3 roti | 1 katori | 1 serving | 1.5 pieces,1 roti | 1 katori | 1 Katori | 1 katori,6 almond | 6 Piece,1 katori,1 piece | 6 piece,1 katori,256.5,255 | 21 | 287 | 97.5,85 | 171 | 120 | 21,42 | 48,161,84,270,36.45,52.2 | 4.9 | 1.8 | 4.95,17.4 | 24.3 | 26.7 | 4.9,1.8 | 1.8,27.2,88 | 1.2,46,6.6,9 | 0.7 | 16.9 | 1.65,3 | 9 | 2.6 | 0.7,1.8 | 1.8,7.6,20 | 1.8,9.6,9.45,1.2 | 0.1 | 23.7 | 8.1,0.4 | 4.3 | 0.3 | 0.1,3.6 | 4.2,2.4,0.3 | 8.4,5.3,3.75,8.1 | 1.1 | 0.5 | 3.75,2.7 | 4.3 | 0.5 | 1.1,1.2 | 0,12.6,0.8 | 1.2,7.2,Weight Loss,Maharashtrian,None,Veg,2000
